Unnamed: 0,College/University Name,Type (Engineering / Medical / Arts),Type of Institute,State,City,Address,Approval Year
0,,Applied Arts and Crafts,,Arunachal Pradesh,,,2014-2015
1,,Applied Arts and Crafts,,Arunachal Pradesh,,,2014-2015
2,,Applied Arts and Crafts,,Assam,,,2014-2015
3,,Applied Arts and Crafts,,Assam,,,2014-2015
4,,Applied Arts and Crafts,,Bihar,,,2014-2015
5,,Applied Arts and Crafts,,Bihar,,,2014-2015
6,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2014-2015
7,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2014-2015
8,,Applied Arts and Crafts,,Chhattisgarh,,,2014-2015
9,,Applied Arts and Crafts,,Chhattisgarh,,,2014-2015
10,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2014-2015
11,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2014-2015
12,,Applied Arts and Crafts,,Daman and Diu,,,2014-2015
13,,Applied Arts and Crafts,,Daman and Diu,,,2014-2015
14,COLLEGE OF ART,Applied Arts and Crafts,Government,Delhi,EAST DELHI,20-22 TILAK MARG,2014-2015
15,,Applied Arts and Crafts,,Delhi,,,2014-2015
16,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2014-2015
17,,Applied Arts and Crafts,,Goa,,,2014-2015
18,,Applied Arts and Crafts,,Gujarat,,,2014-2015
19,,Applied Arts and Crafts,,Gujarat,,,2014-2015
20,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2014-2015
21,,Applied Arts and Crafts,,Haryana,,,2014-2015
22,,Applied Arts and Crafts,,Himachal Pradesh,,,2014-2015
23,,Applied Arts and Crafts,,Himachal Pradesh,,,2014-2015
24,,Applied Arts and Crafts,,Jammu and Kashmir,,,2014-2015
25,,Applied Arts and Crafts,,Jammu and Kashmir,,,2014-2015
26,,Applied Arts and Crafts,,Jharkhand,,,2014-2015
27,,Applied Arts and Crafts,,Jharkhand,,,2014-2015
28,,Applied Arts and Crafts,,Karnataka,,,2014-2015
29,,Applied Arts and Crafts,,Karnataka,,,2014-2015
30,,Applied Arts and Crafts,,Kerala,,,2014-2015
31,,Applied Arts and Crafts,,Kerala,,,2014-2015
32,,Applied Arts and Crafts,,Madhya Pradesh,,,2014-2015
33,,Applied Arts and Crafts,,Madhya Pradesh,,,2014-2015
34,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2014-2015
35,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2014-2015
36,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2014-2015
37,BHARATI KALA MAHAVIDYALAYA,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2014-2015
38,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Unaided - Private,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2014-2015
39,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Unaided - Private,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2014-2015
40,,Applied Arts and Crafts,,Maharashtra,,,2014-2015
41,,Applied Arts and Crafts,,Manipur,,,2014-2015
42,,Applied Arts and Crafts,,Manipur,,,2014-2015
43,,Applied Arts and Crafts,,Meghalaya,,,2014-2015
44,,Applied Arts and Crafts,,Meghalaya,,,2014-2015
45,,Applied Arts and Crafts,,Mizoram,,,2014-2015
46,,Applied Arts and Crafts,,Mizoram,,,2014-2015
47,,Applied Arts and Crafts,,Nagaland,,,2014-2015
48,,Applied Arts and Crafts,,Nagaland,,,2014-2015
49,,Applied Arts and Crafts,,Odisha,,,2014-2015
50,,Applied Arts and Crafts,,Odisha,,,2014-2015
51,,Applied Arts and Crafts,,Orissa,,,2014-2015
52,,Applied Arts and Crafts,,Orissa,,,2014-2015
53,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2014-2015
54,,Applied Arts and Crafts,,Puducherry,,,2014-2015
55,,Applied Arts and Crafts,,Punjab,,,2014-2015
56,,Applied Arts and Crafts,,Punjab,,,2014-2015
57,,Applied Arts and Crafts,,Rajasthan,,,2014-2015
58,,Applied Arts and Crafts,,Rajasthan,,,2014-2015
59,,Applied Arts and Crafts,,Sikkim,,,2014-2015
60,,Applied Arts and Crafts,,Sikkim,,,2014-2015
61,,Applied Arts and Crafts,,Tamil Nadu,,,2014-2015
62,,Applied Arts and Crafts,,Tamil Nadu,,,2014-2015
63,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2014-2015
64,,Applied Arts and Crafts,,Telangana,,,2014-2015
65,,Applied Arts and Crafts,,Tripura,,,2014-2015
66,,Applied Arts and Crafts,,Tripura,,,2014-2015
67,FMG (ACADEMY) GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,G B NAGAR,PLOT NO-8 KNOWLEDGE PARK 3,2014-2015
68,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2014-2015
69,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2014-2015
70,RAMRATI INSTITUTE OF TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,SAHARANPUR,DELHI ROAD,2014-2015
71,,Applied Arts and Crafts,,Uttarakhand,,,2014-2015
72,,Applied Arts and Crafts,,Uttarakhand,,,2014-2015
73,,Applied Arts and Crafts,,West Bengal,,,2014-2015
74,,Applied Arts and Crafts,,West Bengal,,,2014-2015
75,Type,Program,City,State,State,Affiliated University,Year
76,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2015-2016
77,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2015-2016
78,,Applied Arts and Crafts,,Andhra Pradesh,,,2015-2016
79,,Applied Arts and Crafts,,Andhra Pradesh,,,2015-2016
80,,Applied Arts and Crafts,,Arunachal Pradesh,,,2015-2016
81,,Applied Arts and Crafts,,Arunachal Pradesh,,,2015-2016
82,,Applied Arts and Crafts,,Assam,,,2015-2016
83,,Applied Arts and Crafts,,Assam,,,2015-2016
84,,Applied Arts and Crafts,,Bihar,,,2015-2016
85,,Applied Arts and Crafts,,Bihar,,,2015-2016
86,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2015-2016
87,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2015-2016
88,,Applied Arts and Crafts,,Chhattisgarh,,,2015-2016
89,,Applied Arts and Crafts,,Chhattisgarh,,,2015-2016
90,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2015-2016
91,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2015-2016
92,,Applied Arts and Crafts,,Daman and Diu,,,2015-2016
93,,Applied Arts and Crafts,,Daman and Diu,,,2015-2016
94,COLLEGE OF ART,Applied Arts and Crafts,Government,Delhi,EAST DELHI,20-22 TILAK MARG,2015-2016
95,,Applied Arts and Crafts,,Delhi,,,2015-2016
96,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2015-2016
97,,Applied Arts and Crafts,,Goa,,,2015-2016
98,,Applied Arts and Crafts,,Gujarat,,,2015-2016
99,,Applied Arts and Crafts,,Gujarat,,,2015-2016
100,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2015-2016
101,,Applied Arts and Crafts,,Haryana,,,2015-2016
102,,Applied Arts and Crafts,,Himachal Pradesh,,,2015-2016
103,,Applied Arts and Crafts,,Himachal Pradesh,,,2015-2016
104,,Applied Arts and Crafts,,Jammu and Kashmir,,,2015-2016
105,,Applied Arts and Crafts,,Jammu and Kashmir,,,2015-2016
106,,Applied Arts and Crafts,,Jharkhand,,,2015-2016
107,,Applied Arts and Crafts,,Jharkhand,,,2015-2016
108,,Applied Arts and Crafts,,Karnataka,,,2015-2016
109,,Applied Arts and Crafts,,Karnataka,,,2015-2016
110,,Applied Arts and Crafts,,Kerala,,,2015-2016
111,,Applied Arts and Crafts,,Kerala,,,2015-2016
112,,Applied Arts and Crafts,,Madhya Pradesh,,,2015-2016
113,,Applied Arts and Crafts,,Madhya Pradesh,,,2015-2016
114,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2015-2016
115,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Unaided - Private,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2015-2016
116,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2015-2016
117,BHARATI KALA MAHAVIDYALAYA,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2015-2016
118,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2015-2016
119,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Unaided - Private,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2015-2016
120,,Applied Arts and Crafts,,Maharashtra,,,2015-2016
121,,Applied Arts and Crafts,,Manipur,,,2015-2016
122,,Applied Arts and Crafts,,Manipur,,,2015-2016
123,,Applied Arts and Crafts,,Meghalaya,,,2015-2016
124,,Applied Arts and Crafts,,Meghalaya,,,2015-2016
125,,Applied Arts and Crafts,,Mizoram,,,2015-2016
126,,Applied Arts and Crafts,,Mizoram,,,2015-2016
127,,Applied Arts and Crafts,,Nagaland,,,2015-2016
128,,Applied Arts and Crafts,,Nagaland,,,2015-2016
129,,Applied Arts and Crafts,,Odisha,,,2015-2016
130,,Applied Arts and Crafts,,Odisha,,,2015-2016
131,,Applied Arts and Crafts,,Orissa,,,2015-2016
132,,Applied Arts and Crafts,,Orissa,,,2015-2016
133,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2015-2016
134,,Applied Arts and Crafts,,Puducherry,,,2015-2016
135,,Applied Arts and Crafts,,Punjab,,,2015-2016
136,,Applied Arts and Crafts,,Punjab,,,2015-2016
137,,Applied Arts and Crafts,,Rajasthan,,,2015-2016
138,,Applied Arts and Crafts,,Rajasthan,,,2015-2016
139,,Applied Arts and Crafts,,Sikkim,,,2015-2016
140,,Applied Arts and Crafts,,Sikkim,,,2015-2016
141,,Applied Arts and Crafts,,Tamil Nadu,,,2015-2016
142,,Applied Arts and Crafts,,Tamil Nadu,,,2015-2016
143,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2015-2016
144,,Applied Arts and Crafts,,Telangana,,,2015-2016
145,,Applied Arts and Crafts,,Tripura,,,2015-2016
146,,Applied Arts and Crafts,,Tripura,,,2015-2016
147,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2015-2016
148,FMG (ACADEMY) GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,G B NAGAR,PLOT NO-8 KNOWLEDGE PARK 3,2015-2016
149,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2015-2016
150,,Applied Arts and Crafts,,Uttar Pradesh,,,2015-2016
151,,Applied Arts and Crafts,,Uttarakhand,,,2015-2016
152,,Applied Arts and Crafts,,Uttarakhand,,,2015-2016
153,,Applied Arts and Crafts,,West Bengal,,,2015-2016
154,,Applied Arts and Crafts,,West Bengal,,,2015-2016
155,MULTI DISCIPLINARY PROFESSIONAL COLLEGE,Applied Arts and Crafts,Government,Andaman and Nicobar Islands,PORT BLAIR,PHEONIX BAY,2016-2017
156,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2016-2017
157,,Applied Arts and Crafts,,Andhra Pradesh,,,2016-2017
158,,Applied Arts and Crafts,,Andhra Pradesh,,,2016-2017
159,,Applied Arts and Crafts,,Arunachal Pradesh,,,2016-2017
160,,Applied Arts and Crafts,,Arunachal Pradesh,,,2016-2017
161,,Applied Arts and Crafts,,Assam,,,2016-2017
162,,Applied Arts and Crafts,,Assam,,,2016-2017
163,,Applied Arts and Crafts,,Bihar,,,2016-2017
164,,Applied Arts and Crafts,,Bihar,,,2016-2017
165,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2016-2017
166,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2016-2017
167,,Applied Arts and Crafts,,Chhattisgarh,,,2016-2017
168,,Applied Arts and Crafts,,Chhattisgarh,,,2016-2017
169,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2016-2017
170,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2016-2017
171,,Applied Arts and Crafts,,Daman and Diu,,,2016-2017
172,,Applied Arts and Crafts,,Daman and Diu,,,2016-2017
173,COLLEGE OF ART,Applied Arts and Crafts,Government,Delhi,EAST DELHI,20-22 TILAK MARG,2016-2017
174,,Applied Arts and Crafts,,Delhi,,,2016-2017
175,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2016-2017
176,,Applied Arts and Crafts,,Goa,,,2016-2017
177,,Applied Arts and Crafts,,Gujarat,,,2016-2017
178,,Applied Arts and Crafts,,Gujarat,,,2016-2017
179,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2016-2017
180,,Applied Arts and Crafts,,Haryana,,,2016-2017
181,,Applied Arts and Crafts,,Himachal Pradesh,,,2016-2017
182,,Applied Arts and Crafts,,Himachal Pradesh,,,2016-2017
183,,Applied Arts and Crafts,,Jammu and Kashmir,,,2016-2017
184,,Applied Arts and Crafts,,Jammu and Kashmir,,,2016-2017
185,,Applied Arts and Crafts,,Jharkhand,,,2016-2017
186,,Applied Arts and Crafts,,Jharkhand,,,2016-2017
187,,Applied Arts and Crafts,,Karnataka,,,2016-2017
188,,Applied Arts and Crafts,,Karnataka,,,2016-2017
189,,Applied Arts and Crafts,,Kerala,,,2016-2017
190,,Applied Arts and Crafts,,Kerala,,,2016-2017
191,,Applied Arts and Crafts,,Madhya Pradesh,,,2016-2017
192,,Applied Arts and Crafts,,Madhya Pradesh,,,2016-2017
193,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2016-2017
194,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Unaided - Private,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2016-2017
195,BHARATI KALA MAHAVIDYALAYA,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2016-2017
196,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Unaided - Private,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2016-2017
197,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2016-2017
198,,Applied Arts and Crafts,,Maharashtra,,,2016-2017
199,,Applied Arts and Crafts,,Manipur,,,2016-2017
200,,Applied Arts and Crafts,,Manipur,,,2016-2017
201,,Applied Arts and Crafts,,Meghalaya,,,2016-2017
202,,Applied Arts and Crafts,,Meghalaya,,,2016-2017
203,,Applied Arts and Crafts,,Mizoram,,,2016-2017
204,,Applied Arts and Crafts,,Mizoram,,,2016-2017
205,,Applied Arts and Crafts,,Nagaland,,,2016-2017
206,,Applied Arts and Crafts,,Nagaland,,,2016-2017
207,,Applied Arts and Crafts,,Odisha,,,2016-2017
208,,Applied Arts and Crafts,,Odisha,,,2016-2017
209,,Applied Arts and Crafts,,Orissa,,,2016-2017
210,,Applied Arts and Crafts,,Orissa,,,2016-2017
211,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2016-2017
212,,Applied Arts and Crafts,,Puducherry,,,2016-2017
213,,Applied Arts and Crafts,,Punjab,,,2016-2017
214,,Applied Arts and Crafts,,Punjab,,,2016-2017
215,,Applied Arts and Crafts,,Rajasthan,,,2016-2017
216,,Applied Arts and Crafts,,Rajasthan,,,2016-2017
217,,Applied Arts and Crafts,,Sikkim,,,2016-2017
218,,Applied Arts and Crafts,,Sikkim,,,2016-2017
219,,Applied Arts and Crafts,,Tamil Nadu,,,2016-2017
220,,Applied Arts and Crafts,,Tamil Nadu,,,2016-2017
221,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2016-2017
222,,Applied Arts and Crafts,,Telangana,,,2016-2017
223,,Applied Arts and Crafts,,Tripura,,,2016-2017
224,,Applied Arts and Crafts,,Tripura,,,2016-2017
225,FMG (ACADEMY) GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,G B NAGAR,PLOT NO-8 KNOWLEDGE PARK 3,2016-2017
226,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2016-2017
227,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2016-2017
228,,Applied Arts and Crafts,,Uttar Pradesh,,,2016-2017
229,,Applied Arts and Crafts,,Uttarakhand,,,2016-2017
230,,Applied Arts and Crafts,,Uttarakhand,,,2016-2017
231,,Applied Arts and Crafts,,West Bengal,,,2016-2017
232,,Applied Arts and Crafts,,West Bengal,,,2016-2017
233,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2017-2018
234,,Applied Arts and Crafts,,Andaman and Nicobar Islands,,,2017-2018
235,,Applied Arts and Crafts,,Andhra Pradesh,,,2017-2018
236,,Applied Arts and Crafts,,Andhra Pradesh,,,2017-2018
237,,Applied Arts and Crafts,,Arunachal Pradesh,,,2017-2018
238,,Applied Arts and Crafts,,Arunachal Pradesh,,,2017-2018
239,,Applied Arts and Crafts,,Assam,,,2017-2018
240,,Applied Arts and Crafts,,Assam,,,2017-2018
241,,Applied Arts and Crafts,,Bihar,,,2017-2018
242,,Applied Arts and Crafts,,Bihar,,,2017-2018
243,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2017-2018
244,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2017-2018
245,,Applied Arts and Crafts,,Chhattisgarh,,,2017-2018
246,,Applied Arts and Crafts,,Chhattisgarh,,,2017-2018
247,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2017-2018
248,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2017-2018
249,,Applied Arts and Crafts,,Daman and Diu,,,2017-2018
250,,Applied Arts and Crafts,,Daman and Diu,,,2017-2018
251,COLLEGE OF ART,Applied Arts and Crafts,Government,Delhi,EAST DELHI,20-22 TILAK MARG,2017-2018
252,,Applied Arts and Crafts,,Delhi,,,2017-2018
253,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2017-2018
254,,Applied Arts and Crafts,,Goa,,,2017-2018
255,,Applied Arts and Crafts,,Gujarat,,,2017-2018
256,,Applied Arts and Crafts,,Gujarat,,,2017-2018
257,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2017-2018
258,,Applied Arts and Crafts,,Haryana,,,2017-2018
259,,Applied Arts and Crafts,,Himachal Pradesh,,,2017-2018
260,,Applied Arts and Crafts,,Himachal Pradesh,,,2017-2018
261,,Applied Arts and Crafts,,Jammu and Kashmir,,,2017-2018
262,,Applied Arts and Crafts,,Jammu and Kashmir,,,2017-2018
263,,Applied Arts and Crafts,,Jharkhand,,,2017-2018
264,,Applied Arts and Crafts,,Jharkhand,,,2017-2018
265,,Applied Arts and Crafts,,Karnataka,,,2017-2018
266,,Applied Arts and Crafts,,Karnataka,,,2017-2018
267,,Applied Arts and Crafts,,Kerala,,,2017-2018
268,,Applied Arts and Crafts,,Kerala,,,2017-2018
269,,Applied Arts and Crafts,,Madhya Pradesh,,,2017-2018
270,,Applied Arts and Crafts,,Madhya Pradesh,,,2017-2018
271,"B. S. BANDEKAR COLLEGE OF FINE ART,( APPLIED ART).",Applied Arts and Crafts,Unaided - Private,Maharashtra,SINDHUDURG,"SURVE NO.54/01, NEAR FOREST BHAVAN,SALAIWADA,AT/PO.SAWANTWADI,DIST:-SINDHUDURGA.416510",2017-2018
272,VIVA INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Unaided - Private,Maharashtra,THANE,"AT:-SHIRGAON, POST:- VIRAR (E)",2017-2018
273,PAD.DR.D.Y.PATIL COLLEGE OF APPLIED ARTS & CRAFTS,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"SECTOR NO. 29, NIGDI-PRADHIKRAN, AKURDI, PUNE -44",2017-2018
274,SIR J. J. INSTITUTE OF APPLIED ART,Applied Arts and Crafts,Government,Maharashtra,MUMBAI CITY,"DR. D. N. ROAD, FORT",2017-2018
275,BHARATI KALA MAHAVIDYALAYA,Applied Arts and Crafts,Unaided - Private,Maharashtra,PUNE,"BHARATI VIDYAPEETH EDUCATIONAL CAMPUS, PUNE-SATARA ROAD, PUNE 411043",2017-2018
276,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2017-2018
277,,Applied Arts and Crafts,,Maharashtra,,,2017-2018
278,,Applied Arts and Crafts,,Manipur,,,2017-2018
279,,Applied Arts and Crafts,,Manipur,,,2017-2018
280,,Applied Arts and Crafts,,Meghalaya,,,2017-2018
281,,Applied Arts and Crafts,,Meghalaya,,,2017-2018
282,,Applied Arts and Crafts,,Mizoram,,,2017-2018
283,,Applied Arts and Crafts,,Mizoram,,,2017-2018
284,,Applied Arts and Crafts,,Nagaland,,,2017-2018
285,,Applied Arts and Crafts,,Nagaland,,,2017-2018
286,,Applied Arts and Crafts,,Odisha,,,2017-2018
287,,Applied Arts and Crafts,,Odisha,,,2017-2018
288,,Applied Arts and Crafts,,Orissa,,,2017-2018
289,,Applied Arts and Crafts,,Orissa,,,2017-2018
290,BHARATHIAR PALKALAI KOODAM,Applied Arts and Crafts,Government,Puducherry,PUDUCHERRY,"CUDDALORE MAIN ROAD, ARIYANKUPPAM",2017-2018
291,,Applied Arts and Crafts,,Puducherry,,,2017-2018
292,,Applied Arts and Crafts,,Punjab,,,2017-2018
293,,Applied Arts and Crafts,,Punjab,,,2017-2018
294,,Applied Arts and Crafts,,Rajasthan,,,2017-2018
295,,Applied Arts and Crafts,,Rajasthan,,,2017-2018
296,,Applied Arts and Crafts,,Sikkim,,,2017-2018
297,,Applied Arts and Crafts,,Sikkim,,,2017-2018
298,,Applied Arts and Crafts,,Tamil Nadu,,,2017-2018
299,,Applied Arts and Crafts,,Tamil Nadu,,,2017-2018
300,SRI VENKATESHWARA COLLEGE OF FINE ARTS,Applied Arts and Crafts,Unaided - Private,Telangana,RANGAREDDI,"86, HITECH CITY ROAD, MADHAPUR, HYDERABAD",2017-2018
301,,Applied Arts and Crafts,,Telangana,,,2017-2018
302,,Applied Arts and Crafts,,Tripura,,,2017-2018
303,,Applied Arts and Crafts,,Tripura,,,2017-2018
304,FMG (ACADEMY) GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,G B NAGAR,PLOT NO-8 KNOWLEDGE PARK 3,2017-2018
305,VIDYA INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Unaided - Private,Uttar Pradesh,MEERUT,"VIDYA KNOWLEDGE PARK BAGHPAT ROAD MEERUT ,UTTAR PRADESH-250005",2017-2018
