Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010951089,VAGDEVI COLLEGE OF PHARMACY AND RESEARCH CENTRE,BRAHMADEVAM VILLAGE MUTHUKUR MANDAL NELLORE DT. ANDHRA PRADESH PIN: 524346,NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2011010764,CHALAPATHI INSTITUTE OF PHARMACEUTICAL SCIENCES,"CHALAPATHINAGAR, LAM, GUNTUR-522034, ANDHRAPRADESH",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013238234,KORINGA COLLEGE OF PHARMACY,"KORINGA COLLEGE OF PHARMACY OPP: KORANGI POLICE STATION LANE KORANGI - 533461 TALLAREVU MANDAL E.G. DIST., A.P. 0884 -2304387 WWW.KORINGACOLLEGE",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013239958,SARADA COLLEGE OF PHARMACEUTICAL SCIENCES,"KONDAKAVUR, GURAVAYA PALEM[POST] NARSARAOPET[MANDAL],GUNTUR[DISTRICT]A.P",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013242984,SRI LAKSHMI NARASIMHA COLLEGE OF PHARMACY,"SF-316, CHITTOOR VELLORE HIGHWAY PALLURU - 517132 ANDHRA PRADESH",CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013255796,SRI SIDDHARTHA PHARMACY COLLEGE,SRI SIDDHARTHA PHARMACY COLLEGE AMMAVARI THOTA NUZVID KRISHNA DT A.P PIN 521201,KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013261665,NALANDA INSTITUTE OF PHARMACEUTICALSCIENCES,"SIDDHARTH NAGAR, KANTEPUDI (V), SATTENAPALLI (M), GUNTUR DISTRICT - 522 438. ANDHRA PRADESH",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013311935,SCHOOL OF PHARMACEUTICAL SCIENCES AND TECHNOLOGIES,JNTU KAKINADA,EAST GODAVARI,Government,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013362298,PRABHATH INSTITUTE OF PHARMACY,"PARNAPALLI,NANDYAL,KURNOOL(DT),A.P",KURNOOL,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013363098,SIMS COLLEGE OF PHARMACY,"MANGALADAS NAGAR, GUNTUR",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013407607,SRI VENKATESWARA COLLEGE OF PHARMACY,"NH-5, MRO OFFICE ROAD,",SRIKAKULAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013469280,VJ'S COLLEGE OF PHARMACY,"SY.NO-721, DBV RAJU TOWNSHIP, DIWANCHERUVU, RAJAHMUNDRY - 533103",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013486662,NOVA COLLEGE OF PHARMACY,VEGAVARAM VILLAGE JANGAREDDYGUDEM MANDAL WEST GODAVARI DISTRICT ANDHRA PRADESH PIN :534447,WEST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013509423,LYDIA COLLEGE OF PHARMACY,"NH-5, ETHAKOTA, RAVULAPALEM, EAST GODAVARI DISTRICT, ANDHRA PRADESH, INDIA. PIN: 533 238.",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013520772,VISHWA BHARATHI COLLEGE OF PHARMACEUTICAL SCIENCES,"N.R.T ROAD, PERECHERLA, GUNTUR.",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013524005,KJR COLLEGE OF PHARMACY,"BURUGUPUDI KORUKONDA(M) RAJAHMUNDRY, EAST GODAVARI DISTRICT ANDHRA PRADESH-533292",EAST GODAVARI,Unaided - Private,N,Y,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013526673,VIKAS GROUP OF INSTITUTIONS,"NUNNA VILLAGE, VIJAYAWADA RURAL MANDAL, KRISHNA DIST.",KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013527396,VIKAS COLLEGE OF PHARMACY,"PUTRELA ROAD, VISSANNAPETA VILLAGE, VISSANNAPETA POST & MANDAL, KRISHNA",KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013584110,VICTORIA COLLEGE OF PHARMACY,"CHALLAVARIPALEM (V), NALLAPADU (PO), GUNTUR - 522005 ANDHRA PRADESH",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013585301,M.R.R COLLEGE OF PHARMACY,"NEAR DSP OFFICE, MADHIRA ROAD, NANDIGAMA,KRISHNA DISTRICT, ANDHRA PRADESH",KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013585747,S.CHAAVAN COLLEGE OF PHARMACY,"S.CHAAVAN COLLEGE OF PHARMACY JANGALAKANDRIGA(VI), MUTHUKUR(MD), SPSR NELLORE(DT) ANDHRA PRADESH PIN-524346",NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013585938,JAGAN'S COLLEGE OF PHARMACY,"JAGAN'S COLLEGE OF PHARMACY, JANGALA KANDRIGA (VI) MUTHUKUR(MD) NELLORE(DT) ANDHRA PRADESH.",NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013592440,SRI SAI ADITYA INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH,"ADITYA NAGAR,SURAMPALEM A D B ROAD, PEDDAPURAM GANDEAPALLI MANDAL EAST GODAVARI DISTRICT ANDHRA PRADESH PIN:533 437",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013593285,SRI SIVANI COLLEGE OF PHARMACY,"CHILAKAPALEM JUNCTION, ETCHERLA MANDAL, SRIKAKULAM",SRIKAKULAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013595164,ST.JOHNS COLLEGE OF PHARMACEUTICAL SCIENCES,"YERRAKOTA, YEMMIGANUR-518360, KURNOOL (DIST), AP",KURNOOL,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013596533,NARAYANA PHARMACY COLLEGE,NARAYANA PHARMACY COLLEGE CHINTHAREDDYPALEM NELLORE-524 002 ANDHRA PRADESH,NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013636944,ST.ANN'S COLLEGE OF PHARMACY,"CANTONMENT VIZIANAGARAM 535003, ANDHRA PRADESH INDIA",VIZIANAGARAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013668377,"JOGAIAH INSTITUTE OF TECHNOLOGY & SCIENCES, COLLEGE OF PHARMACY","NH-214, CHINCHINADA ROAD KALAGAMPUDI ELAMANCHILI MANDAL WEST GODAVARI DIST ANDHRA PRADESH",WEST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013680650,SESHACHALA COLLEGE OF PHARMACY,"TIRUPATI-CHENNAI HIGHWAY, KANAKAMPALEM VILLAGE, PUTTUR MANDAL, CHITTOOR DIST., A.P.",CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013705574,SIR C.R.REDDY COLLEGE OF PHARMACEUTICAL SCIENCES,"SANTHI NAGAR,GNT ROAD,ELURU",WEST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013706060,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,"TIRUPATHI VILLAGE PEDDAPURAM MANDAL EAST GODAWARI DIST., ANDRAPRADESH-533433",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013746221,ST.MARYS COLLEGE OF B.PHARMACY,"SURAMPALEM,ADB ROAD , PEDDAPURAM,533437",EAST GODAVARI,Unaided - Private,N,Y,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013771989,SANTHIRAM COLLEGE OF PHARMACY,"NH-18, NANDYAL",KURNOOL,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013780197,"SRI PADMAVATHI SCHOOL OF PHARMACY, TIRUCHANOOR, TIRUPATI, CHITTOOR(DT) ANDHRA PRADESH","MOHAN GARDENS, BEHIND R.K.KALYANAMANDAPAM, VAISHNAVI NAGAR, TIRUCHANOOR(P)-517 503 , TIRUPATI, CHITTOOR(DT), ANDHRA PRADESH",CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013785230,VAGDEVI COLLEGE OF PHARMACY,GUNTUR ROAD GURAZALA(P&M) GUNTUR (DT.) A.P. PIN - 522415,GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013788900,VIGNAN PHARMACY COLLEGE,"VADLAMUDI-522213, CHEBROLU MANDAL, GUNTUR DISTRICT ANDRA PRADESH INDIA.",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013791135,ADARSA COLLEGE OF PHARMACY,KAMA RAJU PET G.KOTHAPALLI - 533285 EAST GODAVARI DISTRICT ANDHRA PRADESH,EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013806104,GOKULA KRISHNA COLLEGE OF PHARMACY,BEHIND RTC DEPOT SULLURUPETA NELLORE DISTRICT ANDHRA PRADESH - 524 121,NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013813838,CHEBROLU HANUMAIAH INSTITUTE OF PHARMACEUTICAL SCIENCES,"CHANDRAMOULIPURAM, CHOWDAVARAM, GUNTUR, AP",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013826721,P.RAMI REDDY MEMORIAL COLLEGE OF PHARMACY,"1-35, PRAKRUTHI NAGAR, KADAPA, ANDHRA PRADESH. 516003",YSR DISTRICT,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013840709,DR. K.V. SUBBA REDDY INSTITUTE OF PHARMACY,"DR. K.V. SUBBA REDDY INSTITUTE OF PHARMACY OPP. DUPADU RAILWAY STATION, N.H - 7, LAKSHMIPURAM (POST), KURNOOL - 518218. ANDHRA PRADESH.",KURNOOL,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013840934,DR. SAMUEL GEORGE INSTITUTE OF PHARMACEUTICAL SCIENCES,"PERMANENT LOCATION AS APPROVED BY AICTE, MARKAPUR, PRAKASAM DISTRICT, ANDHRA PRADESH",PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013843184,SEVEN HILLS COLLEGE OF PHARMACY,VENKATRAMAPURAM VILLAGE RAMACHANDRAPURAM MANDAL TIRUPATI CHITTOOR DISTRICT,CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013843995,NIRMALA COLLEGE OF PHARMACY,"3/166-A,PUTLAM PALLI,KADAPA",YSR DISTRICT,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013849059,K. C. REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES,"JANGAMGUNTLAPALEM VILLAGE, MEDIKONDURU MANDAL, GUNTUR DISTRICT.",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013851395,RAOS COLLEGE OF PHARMACY,"CHEMUDUGUNTA (PO), VENKATACHALAM (M), NELLORE - 524320.",NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013852266,QIS COLLEGE OF PHARMACY,VENGAMUKKAPALEM PONDUR ROAD ONGOLE,PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013854906,SRI SAI COLLEGE OF PHARMACY,SEETHARAMPURAM VILLAGE GAJAPATHINAGARAM MANDAL VIZIANAGARAM DISTRICT,VIZIANAGARAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013862123,ADITYA INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH,""" ADITYA NAGAR, ADB ROAD, SURAMPALEM, EAST GODAVARI DISTRICT, ANDHRA PRADESH, PIN - 533 437,",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013863032,JNTUA OIL TECHNOLOGICAL RESEARCH INSTITUTE,NEAR COLLECTOR OFFICE,ANANTAPUR,Government,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013863327,SRINIVASARAO COLLEGE OF PHARMACY,"P.M PALEM,BESIDE ACA/VDCA CRIKET STADIUM,VISAKHAPATNAM ,PIN-530041",VISHAKHAPATNAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013863899,SRILAKSHMI VENKATESWARA INSTITUTE OF PHARMACEUTICAL SCIENCES,"PEDDASETTY PALLI ,PRODDATUR , KADAPA DISTRICT PIN -516 360",YSR DISTRICT,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013864623,SRI KRISHNA CHAITANYA COLLEGE OF PHARMACY,GANGANNAGARIPALLE NIMMANAPALLE ROAD BASINIKONDA PANHAYAT MADANAPALLE,CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013897723,MALINENI LAKSHMAIAH COLLEGE OF PHARMACY,"KANUMALLA(V), SINGARAYAKONDA(MD), PRAKASAM(DT)",PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013902152,MONTESSORI SIVA SIVANI INSTITUTE OF SCIENCE AND TECHNOLOGY-COLLEGE OF PHARMACY,NEAR GURRAJUPALEM MYLAVARAM KRISHNA DISTRICT,KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013917939,SIDDHARTHA INSTITUTE OF PHARMACEUTICAL SCIENCES,JONNALAGADDA (V) NARASARAOPET GUNTUR DIST,GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013957072,GREEN ROYAL ACADEMY OF PHARM. EDUCATION & SCIENCES,"GREEN ROYAL ACADEMY OF PHARMACEUTICAL EDUCATION AND SCIENCES , D.NO.2-89, PONGUTURU, KOYYALAGUDEM (M)",WEST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013959539,ARPITHA SRINIVAS COLLEGE OF PHARMACY,IPPATHANGALE VILLAGE,CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013968449,A.M.REDDY MEMORIAL COLLEGE OF PHARMACY,PETLURIVARIPALEM,GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013973193,GIET SCHOOL OF PHARMACY,"NH-5, CHAITANYA NAGAR, RAJAHMUNDRY",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2013981294,YALAMARTY PHARMACY COLLEGE,TARLUWADA ANANDAPURAM(MANDAL) VISAKHAPATNAM-530052 ANDHRA PRADESH,VISHAKHAPATNAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014006342,PYDAH COLLEGE OF PHARMACY,"2-360, PATAVALA, TALLAREVU MANADAL",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014013982,PRIYADARSHINI INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,"5TH MILE, PULLADIGUNTA, VATTICHERUKURU(MD), GUNTUR. 522017",GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014015438,A.U.COLLEGE OF PHARMACEUTICAL SCIENCES,"ANDHRA UNIVERSITY, VISAKHAPATNAM",VISHAKHAPATNAM,Government,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014016821,KRISHNA TEJA PHARMACY COLLEGE,"CHADALAWADA NAGAR,RENIGUNTA ROAD,TIRUPATI",CHITTOOR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014019682,CHAITANYA COLLEGE OF PHARMACY,"DEVARAJUGATTU VI, PEDDARAVEDU MAND, PRAKASAM DT.",PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014020666,SANKAR REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES,SALAKALAVEEDU VILLAGE,PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014023014,RAHUL INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH,"PAPAIPALEM ROAD, KOTHAPETTA, CHIRALA-523 157, PRAKASAM DT, ANDHRA PRADESH",PRAKASAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014033172,VISWANADHA INSTITUTE OF PHARMACEUTICAL SCIENCES,MINDIVANIPALEM VILLAGE SONTYAM PANCHAYAT ANANDAPURAM MANDAL VISAKHAPATNAM-531173,VISHAKHAPATNAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014041317,GOKUL COLLEGE OF PHARMACY,"PIRIDI(VILLAGE), BOBBILI(MANDAL), VIZIANAGARAM (DIST.). ANDHRA PRADESH-535 568 INDIA",VIZIANAGARAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014073773,GOKUL GROUP OF INSTITUTIONS,"PIRIDI - VILLAGE,",VIZIANAGARAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2014106468,SAASTRA COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH,"VARIGONDA VILLAGE, TOTAPALLIGUDUR MANDAL, NELLORE DT. ANDHRA PRADESH PIN 524311",NELLORE,Unaided - Private,N,N,Click Here,NA
2014-2015,Arunachal Pradesh,Pharmacy,UG,No data available in table
2014-2015,Arunachal Pradesh,Pharmacy,PG,No data available in table
2014-2015,Assam,Pharmacy,UG,No data available in table
2014-2015,Assam,Pharmacy,PG,1-2010711340,GIRIJANANDA CHOWDHURY INSTITUTE OF PHARMACEUTICAL SCIENCE,"GIRIJANANDA CHOWDHURY INSTITUTE OF PHARMACEUTICAL SCIENCE AZARA, HATHKHOWAPARA, NH37 GUWAHATI, ASSAM. PIN:781017",KAMRUP,Unaided - Private,N,N,Click Here,NA
2014-2015,Assam,Pharmacy,PG,1-2011009290,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, DIBRUGARH UNIVERSITY","DEPARTMENT OF PHARMACEUTICAL SCIENCES, DIBRUGARH UNIVERSITY, DIBRUGARH-786004, ASSAM",DIBRUGARH,University Managed,N,N,Click Here,NA
2014-2015,Bihar,Pharmacy,UG,No data available in table
2014-2015,Bihar,Pharmacy,PG,1-2010520217,BIHAR COLLEGE OF PHARMACY,"NEW BAILEY ROAD, PATNA-801503",PATNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Chandigarh,Pharmacy,UG,1-2017105828,UNIVERSITY INSTITUTE OF PHARMACEUTICAL SCIENCES,"PANJAB UNIVERSITY, CHANDIGARH 160014",CHANDIGARH,University Managed,N,N,Click Here,NA
2014-2015,Chandigarh,Pharmacy,PG,1-2017105828,UNIVERSITY INSTITUTE OF PHARMACEUTICAL SCIENCES,"PANJAB UNIVERSITY, CHANDIGARH 160014",CHANDIGARH,University Managed,N,N,Click Here,NA
2014-2015,Chhattisgarh,Pharmacy,UG,No data available in table
2014-2015,Chhattisgarh,Pharmacy,UG,1-2019991305,RUNGTA COLLEGE OF PHARMACEUTICAL SCIENCES & RESEARCH,"RUNGTA EDUCATIONAL CAMPUS, KOHAKA ROAD, KURUD, VIA JAMUL CEMENT WORKS,",DURG,Unaided - Private,N,N,Click Here,NA
2014-2015,Chhattisgarh,Pharmacy,PG,No data available in table
2014-2015,Dadra and Nagar Haveli,Pharmacy,UG,1-2013120835,SSR COLLEGE OF PHARMACY,"SSR COLLEGES CAMPUS, SAYLI ROAD, SILVASSA, UT OF DADRA & NAGAR HAVELI.",DADRA AND NAGAR HAVELI,Unaided - Private,N,N,Click Here,NA
2014-2015,Dadra and Nagar Haveli,Pharmacy,PG,No data available in table
2014-2015,Daman and Diu,Pharmacy,PG,No data available in table
2014-2015,Delhi,Pharmacy,UG,1-2017509308,DELHI INSTITUTION OF PHARMACEUTICAL SCIENCES AND RESEARCH,"PUSHP VIHAR SECTOR-III, M B ROAD, NEW DELHI",SOUTH DELHI,Government,N,N,Click Here,NA
2014-2015,Delhi,Pharmacy,UG,1-2017578772,JAMIA HAMDARD,"FACULTY OF PHARMACY, JAMIA HAMDARD PO: HAMDARD NAGAR NEW DELHI-110062",SOUTH DELHI,Deemed University(Government),N,Y,Click Here,NA
2014-2015,Delhi,Pharmacy,PG,1-2017509308,DELHI INSTITUTION OF PHARMACEUTICAL SCIENCES AND RESEARCH,"PUSHP VIHAR SECTOR-III, M B ROAD, NEW DELHI",SOUTH DELHI,Government,N,N,Click Here,NA
2014-2015,Delhi,Pharmacy,PG,1-2017578772,JAMIA HAMDARD,"FACULTY OF PHARMACY, JAMIA HAMDARD PO: HAMDARD NAGAR NEW DELHI-110062",SOUTH DELHI,Deemed University(Government),N,Y,Click Here,NA
2014-2015,Goa,Pharmacy,UG,1-2013554064,PONDA EDUCATION SOCIETYS RAJARAM AND TARABAI BANDEKAR COLLEGE OF PHARMACY,"PONDA-PANAJI ROAD, FARMAGUDI, PONDA. GOA-403401",SOUTH GOA,Unaided - Private,N,N,Click Here,NA
2014-2015,Goa,Pharmacy,UG,1-2018621735,GOA COLLEGE OF PHARMACY,"18TH JUNE ROAD,PANAJI-GOA",NORTH GOA,Government,N,N,Click Here,NA
2014-2015,Goa,Pharmacy,PG,1-2013554064,PONDA EDUCATION SOCIETYS RAJARAM AND TARABAI BANDEKAR COLLEGE OF PHARMACY,"PONDA-PANAJI ROAD, FARMAGUDI, PONDA. GOA-403401",SOUTH GOA,Unaided - Private,N,N,Click Here,NA
2014-2015,Goa,Pharmacy,PG,1-2018621735,GOA COLLEGE OF PHARMACY,"18TH JUNE ROAD,PANAJI-GOA",NORTH GOA,Government,N,N,Click Here,NA
2014-2015,Gujarat,Pharmacy,UG,1-2007962750,PIONEER PHARMACY DEGREE COLLEGE,"AT-SAYAJIPYRA AJWA-NIMETA ROAD NR-N.H.8, VADODARA",VADODARA,Unaided - Private,N,N,Click Here,NA
2014-2015,Gujarat,Pharmacy,UG,1-2007966572,"GHB PHARMACY COLLEGE, ANIYAD","AT & PO-ANIYAD, TA-SHAHERA,DI-PANCHMAHAL",PANCHMAHAL,Unaided - Private,N,N,Click Here,NA
2014-2015,Gujarat,Pharmacy,UG,1-2007970641,R.H.PATEL COLLEGE OF PHARMACY,"CHRISTIPURA,AT&PO. DAHEMI, TA. BORSAD DIST. ANAND",ANAND,Unaided - Private,N,N,Click Here,NA
2014-2015,Gujarat,Pharmacy,UG,1-2007978834,SMT. R. B. PATEL MAHILA PHARMACY COLLEGE,"KAILASHNAGAR, BHAVNAGAR ROAD, AT: ATKOT, TA: JASDAN, DIST: RAJKOT, GUJARAT",RAJKOT,Unaided - Private,Y,N,Click Here,NA
2014-2015,Gujarat,Pharmacy,UG,1-2007979071,B.S.PATEL PHARMACY COLLEGE,"SAFFRONY INSTITUTE OF TECHNOLOGY CAMPUS, NR. SAFFRONY HOLIDAY RESORT, AHMEDABAD- MEHSANA HIGHWAY, AT & POST - LINCH,PIN CODE-384435 TAL & DIST. ME",MEHSANA,Unaided - Private,N,N,Click Here,NA
